Ord_ID,Cust_ID,Prod_ID,Ship_ID,Order_Date,Ship_Date,Customer_Name,Province,Region,Customer_Segment,Sales,Order_Quantity,Order_Priority,DaysTakenForShipping
738,241,7,1005,2012-07-28,2012-07-29,KRISTINA NUNN,BRITISH COLUMBIA,WEST,CONSUMER,15119,38,MEDIUM,1
757,231,14,1034,2010-01-14,2010-01-16,LELA DONOVAN,BRITISH COLUMBIA,WEST,CORPORATE,660792,34,NOT SPECIFIED,2
825,247,14,1132,2011-01-10,2011-01-12,TONY CHAPMAN,BRITISH COLUMBIA,WEST,CONSUMER,2766392,8,CRITICAL,2
1092,1426,7,1508,2010-09-05,2010-09-05,BRUCE STEWART,NEW BRUNSWICK,ATLANTIC,CORPORATE,12337,27,NOT SPECIFIED,0
1286,481,7,1774,2009-10-21,2009-10-23,PHILIP BROWN,ONTARIO,ONTARIO,HOME OFFICE,5238,13,NOT SPECIFIED,2
1427,511,7,1973,2012-10-18,2012-10-22,ERIN ASHBROOK,ONTARIO,ONTARIO,CONSUMER,3321,18,LOW,4
1505,518,14,2081,2009-02-16,2009-02-20,EDWARD BECKER,ONTARIO,ONTARIO,HOME OFFICE,986251,15,LOW,4
171,103,14,231,2011-09-02,2011-09-04,ROY SKARIA,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,635029,10,CRITICAL,2
1672,492,7,2311,2011-08-22,2011-08-23,EDWARD NAZZAL,ONTARIO,ONTARIO,HOME OFFICE,8932,25,MEDIUM,1
1741,595,7,2410,2012-09-13,2012-09-15,VICTORIA WILSON,ONTARIO,ONTARIO,HOME OFFICE,16216,49,LOW,2
1765,595,14,2447,2010-06-17,2010-06-24,VICTORIA WILSON,ONTARIO,ONTARIO,HOME OFFICE,1464726,25,LOW,7
1765,595,7,2447,2010-06-17,2010-06-24,VICTORIA WILSON,ONTARIO,ONTARIO,HOME OFFICE,26112021,10,LOW,7
1872,659,7,2571,2011-03-17,2011-03-18,PETER MCVEE,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,4357,35,CRITICAL,1
200,42,7,273,2009-01-16,2009-01-17,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,7849,41,MEDIUM,1
2164,812,14,2949,2012-06-18,2012-06-19,MICHELLE HUTHWAITE,QUEBEC,QUEBEC,HOME OFFICE,129435,3,CRITICAL,1
218,56,14,303,2009-10-23,2009-10-24,BRENDAN DODSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,126162,19,NOT SPECIFIED,1
2248,879,7,3056,2011-10-10,2011-10-12,SHIRLEY JACKSON,QUEBEC,QUEBEC,CORPORATE,8334,43,LOW,2
8,8,7,10,2010-11-23,2010-11-24,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,12456,32,MEDIUM,1
761,237,7,1039,2011-10-29,2011-10-30,RALPH KENNEDY,BRITISH COLUMBIA,WEST,CORPORATE,3292,8,HIGH,1
82,62,14,108,2010-02-09,2010-02-09,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,2150677,44,LOW,0
972,356,7,1342,2012-08-16,2012-08-18,NATHAN MAUTZ,BRITISH COLUMBIA,WEST,HOME OFFICE,9088,41,CRITICAL,2
988,360,7,1364,2011-06-07,2011-06-11,MIKE KENNEDY,MANITOBA,PRARIE,CORPORATE,9096,48,LOW,4
997,365,14,1379,2010-10-22,2010-10-23,PARHENA NORRIS,MANITOBA,PRARIE,HOME OFFICE,2876152,8,NOT SPECIFIED,1
411,155,7,1787,2010-08-03,2010-08-04,PHILIP BROWN,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,2245,15,CRITICAL,1
1409,496,7,1944,2012-07-12,2012-07-17,ED LUDWIG,ONTARIO,ONTARIO,CONSUMER,10119,28,LOW,5
1835,639,7,2652,2012-11-01,2012-11-05,BRAD THOMAS,NEWFOUNDLAND,ATLANTIC,CORPORATE,13025,45,LOW,4
1172,449,1,1618,2010-12-12,2010-12-13,BRAD EASON,ONTARIO,ONTARIO,SMALL BUSINESS,52928,45,NOT SPECIFIED,1
1183,451,1,1633,2011-02-05,2011-02-05,HAROLD PAWLAN,ONTARIO,ONTARIO,SMALL BUSINESS,156269,43,HIGH,0
736,254,5,1003,2010-09-20,2010-09-22,LENA HERNANDEZ,BRITISH COLUMBIA,WEST,HOME OFFICE,20878,42,LOW,2
789,264,5,1083,2012-06-17,2012-06-19,CATHY ARMSTRONG,BRITISH COLUMBIA,WEST,CONSUMER,74014,37,NOT SPECIFIED,2
83,62,12,110,2009-01-17,2009-01-17,CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,114349,40,CRITICAL,0
807,232,5,1110,2010-12-14,2010-12-16,SHAHID SHARIARI,BRITISH COLUMBIA,WEST,CORPORATE,2638,7,MEDIUM,2
811,239,1,1115,2011-04-05,2011-04-05,KHLOE MILLER,BRITISH COLUMBIA,WEST,HOME OFFICE,18919,12,NOT SPECIFIED,0
